Team,Wins
LaMeloBall,"{0: '             Pass To  FREQ\xa0M%\n0     Mensah, Nathan      0.3\n1       Black, Leaky      0.3\n2    Smith Jr., Nick      1.5\n3    Miller, Brandon     13.0\n4    McGowens, Bryce      3.9\n5     Williams, Mark      5.1\n6           Thor, JT      3.4\n7     Richards, Nick      4.3\n8      Maledon, Theo      5.3\n9   Washington, P.J.     17.4\n10      Martin, Cody      2.1\n11    Bridges, Miles     12.5\n12  Ntilikina, Frank      0.2\n13     Rozier, Terry     10.6\n14        Smith, Ish      3.2\n15   Hayward, Gordon     16.8', 1: '           Pass From  FREQ\xa0R%\n0     Mensah, Nathan      0.8\n1       Black, Leaky      0.3\n2    Smith Jr., Nick      2.0\n3    Miller, Brandon     12.9\n4    McGowens, Bryce      3.4\n5     Williams, Mark      8.1\n6           Thor, JT      7.3\n7     Richards, Nick      5.8\n8      Maledon, Theo      5.5\n9   Washington, P.J.     19.9\n10      Martin, Cody      1.4\n11    Bridges, Miles     13.1\n12  Ntilikina, Frank      0.1\n13     Rozier, Terry      6.7\n14        Smith, Ish      4.0\n15   Hayward, Gordon      8.6'}"
MoBamba,"{0: ""               Pass To  FREQ\xa0M%\n0    Council IV, Ricky      0.7\n1    Smith, Terquavion      1.2\n2      Springer, Jaden      4.7\n3     Dowtin Jr., Jeff      0.7\n4           Martin, KJ      2.2\n5           Reed, Paul      0.6\n6        Maxey, Tyrese     22.4\n7   Melton, De'Anthony      2.6\n8    House Jr., Danuel      3.5\n9      Korkmaz, Furkan      3.3\n10        Hield, Buddy      3.6\n11      Payne, Cameron      7.4\n12    Oubre Jr., Kelly      5.7\n13   Covington, Robert      0.6\n14      Harris, Tobias      9.0\n15  Morris Sr., Marcus      0.6\n16   Beverley, Patrick     13.3\n17      Batum, Nicolas      2.6\n18         Lowry, Kyle     15.2"", 1: ""             Pass From  FREQ\xa0R%\n0    Council IV, Ricky      0.8\n1    Smith, Terquavion      1.2\n2      Springer, Jaden      3.5\n3     Dowtin Jr., Jeff      1.0\n4           Martin, KJ      1.7\n5           Reed, Paul      0.5\n6        Maxey, Tyrese     19.6\n7   Melton, De'Anthony      3.4\n8    House Jr., Danuel      2.7\n9      Korkmaz, Furkan      5.4\n10        Hield, Buddy      3.9\n11      Payne, Cameron      5.7\n12    Oubre Jr., Kelly      8.6\n13   Covington, Robert      1.0\n14      Harris, Tobias     11.8\n15  Morris Sr., Marcus      1.0\n16   Beverley, Patrick     11.5\n17      Batum, Nicolas      3.7\n18         Lowry, Kyle     12.8""}"
PaoloBanchero,"{0: '                Pass To  FREQ\xa0M%\n0          Howard, Jett      0.1\n1        Black, Anthony      7.2\n2        Houstan, Caleb      2.5\n3          Suggs, Jalen     21.4\n4         Wagner, Franz     19.6\n5       Queen, Trevelin      0.6\n6         Anthony, Cole     11.7\n7          Okeke, Chuma      1.0\n8         Bitadze, Goga      4.6\n9        Wagner, Moritz      4.2\n10  Carter Jr., Wendell      8.4\n11      Isaac, Jonathan      1.3\n12      Fultz, Markelle      7.3\n13          Ingles, Joe      4.8\n14         Harris, Gary      5.3\n15         LaVine, Zach      0.0', 1: '              Pass From  FREQ\xa0R%\n0          Howard, Jett      0.0\n1        Black, Anthony      8.2\n2        Houstan, Caleb      1.6\n3          Suggs, Jalen     19.5\n4         Wagner, Franz     17.1\n5       Queen, Trevelin      0.5\n6         Anthony, Cole     11.3\n7    Schofield, Admiral      0.0\n8          Okeke, Chuma      1.5\n9         Bitadze, Goga      6.7\n10       Wagner, Moritz      3.6\n11  Carter Jr., Wendell      9.0\n12      Isaac, Jonathan      2.2\n13      Fultz, Markelle      8.3\n14          Ingles, Joe      6.6\n15         Harris, Gary      3.8'}"
DesmondBane,"{0: '                Pass To  FREQ\xa0M%\n0         Jemison, Trey      0.3\n1           Jackson, GG      1.6\n2        Gilyard, Jacob      4.6\n3   Lofton Jr., Kenneth      0.5\n4   Williams Jr., Vince      5.1\n5          Roddy, David      5.6\n6         LaRavia, Jake      1.4\n7        Jarreau, DeJon      0.7\n8    Pippen Jr., Scotty      1.3\n9         Aldama, Santi     10.1\n10     Williams, Ziaire      4.5\n11      Tillman, Xavier      5.7\n12       Stevens, Lamar      0.4\n13        Konchar, John      4.8\n14       Nowell, Jaylen      1.7\n15      Clarke, Brandon      0.3\n16           Morant, Ja      5.5\n17      Gabriel, Wenyen      0.1\n18   Jackson Jr., Jaren     17.8\n19        Kennard, Luke      3.5\n20        Smart, Marcus     12.1\n21     Biyombo, Bismack      8.4\n22        Rose, Derrick      4.0', 1: '              Pass From  FREQ\xa0R%\n0         Jemison, Trey      0.2\n1           Jackson, GG      1.5\n2        Gilyard, Jacob      5.2\n3   Lofton Jr., Kenneth      0.6\n4   Williams Jr., Vince      5.7\n5          Roddy, David      4.8\n6         LaRavia, Jake      1.6\n7        Jarreau, DeJon      0.9\n8    Pippen Jr., Scotty      1.1\n9         Aldama, Santi     10.6\n10     Williams, Ziaire      4.4\n11      Tillman, Xavier      7.1\n12       Stevens, Lamar      0.2\n13        Konchar, John      6.0\n14       Nowell, Jaylen      1.7\n15      Clarke, Brandon      0.3\n16           Morant, Ja      4.9\n17      Gabriel, Wenyen      0.2\n18   Jackson Jr., Jaren     13.9\n19        Kennard, Luke      2.8\n20        Smart, Marcus     10.0\n21     Biyombo, Bismack     12.7\n22        Rose, Derrick      3.5'}"
DalanoBanton,"{0: '                Pass To  FREQ\xa0M%\n0        Peterson, Drew      0.1\n1         Walsh, Jordan      0.1\n2           Davison, JD      0.1\n3           Hauser, Sam      1.3\n4        Stevens, Lamar      2.3\n5     Pritchard, Payton      5.0\n6        Queta, Neemias      0.5\n7       Brissett, Oshae      0.7\n8       Mykhailiuk, Svi      1.1\n9          Kornet, Luke      0.6\n10       White, Derrick      1.1\n11        Tatum, Jayson      0.8\n12        Brown, Jaylen      0.9\n13  Porzingis, Kristaps      0.1\n14        Holiday, Jrue      0.5\n15          Horford, Al      0.1\n16          Reath, Duop     10.9\n17      Camara, Toumani      3.8\n18        Rupert, Rayan      5.9\n19          Moore, Taze      0.6\n20       Minaya, Justin      3.2\n21         Murray, Kris      6.1\n22       Walker, Jabari      4.7\n23     Henderson, Scoot     15.4\n24          Badji, Ibou      0.4\n25       Hagans, Ashton      7.4\n26    Thybulle, Matisse      2.8\n27         Brown, Moses      2.4\n28       Ayton, Deandre      8.0\n29     Simons, Anfernee     10.3\n30        Grant, Jerami      2.7', 1: '              Pass From  FREQ\xa0R%\n0        Peterson, Drew      0.1\n1         Walsh, Jordan      0.1\n2           Davison, JD      0.1\n3           Hauser, Sam      1.1\n4        Stevens, Lamar      1.6\n5     Pritchard, Payton      3.1\n6        Queta, Neemias      1.0\n7       Brissett, Oshae      1.1\n8       Mykhailiuk, Svi      1.2\n9          Kornet, Luke      0.8\n10       White, Derrick      0.6\n11        Tatum, Jayson      0.9\n12        Brown, Jaylen      0.5\n13  Porzingis, Kristaps      0.1\n14        Holiday, Jrue      0.1\n15          Horford, Al      0.3\n16          Reath, Duop     11.9\n17      Camara, Toumani      5.1\n18        Rupert, Rayan      7.0\n19          Moore, Taze      0.6\n20       Minaya, Justin      4.1\n21         Murray, Kris      8.9\n22       Walker, Jabari      7.1\n23     Henderson, Scoot     10.6\n24          Badji, Ibou      0.4\n25       Hagans, Ashton      7.6\n26    Thybulle, Matisse      3.9\n27         Brown, Moses      4.3\n28       Ayton, Deandre      8.7\n29     Simons, Anfernee      5.1\n30        Grant, Jerami      2.0'}"
DominickBarlow,"{0: ""                   Pass To  FREQ\xa0M%\n0       Wembanyama, Victor      0.7\n1            Cissoko, Sidy      0.2\n2           Sochan, Jeremy      7.0\n3            Wesley, Blake     19.3\n4          Branham, Malaki      8.4\n5       Champagnie, Julian      6.3\n6   Mamukelashvili, Sandro      1.4\n7               Jones, Tre     17.6\n8           Vassell, Devin     15.9\n9          Bassey, Charles      0.2\n10         Johnson, Keldon     12.8\n11        Graham, Devonte'      1.9\n12           Collins, Zach      0.2\n13             Osman, Cedi      5.5\n14         McDermott, Doug      2.4"", 1: ""                 Pass From  FREQ\xa0R%\n0       Wembanyama, Victor      1.6\n1            Cissoko, Sidy      0.3\n2           Sochan, Jeremy      7.2\n3            Wesley, Blake     20.0\n4          Branham, Malaki     10.8\n5       Champagnie, Julian      5.6\n6   Mamukelashvili, Sandro      3.0\n7               Jones, Tre     15.1\n8           Vassell, Devin     15.7\n9          Bassey, Charles      0.7\n10         Johnson, Keldon     10.5\n11        Graham, Devonte'      3.3\n12             Osman, Cedi      3.9\n13         McDermott, Doug      2.3""}"
HarrisonBarnes,"{0: ""              Pass To  FREQ\xa0M%\n0        Jones, Colby      0.3\n1         Ellis, Keon      5.6\n2      Murray, Keegan      7.4\n3    Mitchell, Davion      8.6\n4    Edwards, Kessler      0.4\n5       Duarte, Chris      1.4\n6      Huerter, Kevin      7.4\n7     Vezenkov, Sasha      0.5\n8         Monk, Malik      7.9\n9       Fox, De'Aaron     33.1\n10  Sabonis, Domantas     25.5\n11        Lyles, Trey      1.0\n12          Len, Alex      0.7\n13      McGee, JaVale      0.2"", 1: ""            Pass From  FREQ\xa0R%\n0        Jones, Colby      0.2\n1         Ellis, Keon      5.8\n2      Murray, Keegan      8.4\n3    Mitchell, Davion      7.0\n4    Edwards, Kessler      0.6\n5       Duarte, Chris      1.4\n6      Huerter, Kevin     10.1\n7     Vezenkov, Sasha      0.4\n8         Monk, Malik      8.0\n9       Fox, De'Aaron     27.1\n10  Sabonis, Domantas     29.2\n11        Lyles, Trey      1.0\n12          Len, Alex      0.6\n13      McGee, JaVale      0.2""}"
ScottieBarnes,"{0: '               Pass To  FREQ\xa0M%\n0         Dick, Gradey      3.1\n1        Agbaji, Ochai      1.0\n2       Flynn, Malachi      8.1\n3   Quickley, Immanuel     10.8\n4    Achiuwa, Precious      4.4\n5        Nwora, Jordan      1.0\n6     McDaniels, Jalen      1.3\n7          Barrett, RJ      5.5\n8      Trent Jr., Gary      7.5\n9       Porter, Jontay      1.2\n10        Brown, Bruce      3.1\n11      Boucher, Chris      3.1\n12         Anunoby, OG      5.3\n13      Siakam, Pascal      9.6\n14       Poeltl, Jakob      8.5\n15    Porter Jr., Otto      0.4\n16       Olynyk, Kelly      2.2\n17    Schroder, Dennis     21.5\n18     Young, Thaddeus      2.5', 1: '             Pass From  FREQ\xa0R%\n0         Dick, Gradey      2.1\n1        Agbaji, Ochai      0.8\n2       Flynn, Malachi      7.5\n3   Quickley, Immanuel     10.8\n4    Achiuwa, Precious      3.9\n5        Nwora, Jordan      1.4\n6     McDaniels, Jalen      1.6\n7          Barrett, RJ      5.2\n8      Trent Jr., Gary      5.4\n9       Porter, Jontay      1.9\n10        Brown, Bruce      3.5\n11      Boucher, Chris      2.9\n12         Anunoby, OG      4.4\n13      Siakam, Pascal     10.0\n14       Poeltl, Jakob     11.1\n15    Porter Jr., Otto      0.8\n16       Olynyk, Kelly      2.7\n17    Schroder, Dennis     20.1\n18     Temple, Garrett      0.0\n19     Young, Thaddeus      3.8'}"
RJBarrett,"{0: '                   Pass To  FREQ\xa0M%\n0            Sims, Jericho      0.1\n1           McBride, Miles      0.2\n2       Quickley, Immanuel      3.9\n3          Grimes, Quentin      2.5\n4       Robinson, Mitchell      0.5\n5        DiVincenzo, Donte      2.6\n6           Brunson, Jalen     10.0\n7               Hart, Josh      2.5\n8      Hartenstein, Isaiah      2.2\n9           Randle, Julius      9.7\n10             Gibson, Taj      0.2\n11         Williams, Malik      0.1\n12            Dick, Gradey      2.7\n13       Gueye, Mouhamadou      0.1\n14  Freeman-Liberty, Javon      2.2\n15            Carton, D.J.      0.3\n16         Barnes, Scottie      8.6\n17           Agbaji, Ochai      1.2\n18      Quickley, Immanuel     18.5\n19           Nwora, Jordan      1.3\n20        McDaniels, Jalen      0.8\n21         Trent Jr., Gary      4.3\n22          Porter, Jontay      1.7\n23            Brown, Bruce      3.2\n24          Boucher, Chris      1.2\n25          Siakam, Pascal      1.3\n26           Poeltl, Jakob      4.4\n27           Olynyk, Kelly      5.8\n28        Schroder, Dennis      5.6\n29         Temple, Garrett      0.4\n30         Young, Thaddeus      1.9', 1: '                 Pass From  FREQ\xa0R%\n0            Sims, Jericho      0.4\n1           McBride, Miles      0.1\n2       Quickley, Immanuel      5.5\n3          Grimes, Quentin      1.5\n4       Robinson, Mitchell      1.8\n5        DiVincenzo, Donte      2.0\n6           Brunson, Jalen     14.4\n7               Hart, Josh      3.6\n8      Hartenstein, Isaiah      3.1\n9           Randle, Julius      5.6\n10             Gibson, Taj      0.4\n11         Williams, Malik      0.4\n12            Dick, Gradey      1.7\n13  Freeman-Liberty, Javon      2.5\n14            Carton, D.J.      0.3\n15         Barnes, Scottie      8.2\n16           Agbaji, Ochai      1.4\n17      Quickley, Immanuel     18.7\n18           Nwora, Jordan      1.1\n19        McDaniels, Jalen      1.3\n20         Trent Jr., Gary      2.8\n21          Porter, Jontay      1.7\n22            Brown, Bruce      2.7\n23          Boucher, Chris      0.7\n24          Siakam, Pascal      1.2\n25           Poeltl, Jakob      3.9\n26           Olynyk, Kelly      6.1\n27        Schroder, Dennis      5.1\n28         Temple, Garrett      0.3\n29         Young, Thaddeus      1.5'}"
CharlesBassey,"{0: ""                   Pass To  FREQ\xa0M%\n0       Wembanyama, Victor      3.9\n1         Barlow, Dominick      0.7\n2           Sochan, Jeremy     11.1\n3            Wesley, Blake      0.3\n4          Branham, Malaki     10.5\n5       Champagnie, Julian      2.3\n6   Mamukelashvili, Sandro      1.0\n7               Jones, Tre     35.0\n8           Vassell, Devin      7.5\n9          Johnson, Keldon      8.2\n10        Graham, Devonte'      3.3\n11             Osman, Cedi     12.1\n12         McDermott, Doug      4.2"", 1: ""             Pass From  FREQ\xa0R%\n0   Wembanyama, Victor      2.6\n1     Barlow, Dominick      0.7\n2       Sochan, Jeremy     13.9\n3        Wesley, Blake      0.7\n4      Branham, Malaki     15.2\n5   Champagnie, Julian      1.3\n6           Jones, Tre     19.9\n7       Vassell, Devin      6.6\n8      Johnson, Keldon      7.3\n9     Graham, Devonte'      4.6\n10         Osman, Cedi     15.9\n11     McDermott, Doug     11.3""}"
EmoniBates,"{0: '               Pass To  FREQ\xa0M%\n0    Porter Jr., Craig     30.9\n1          Nance, Pete      3.1\n2       Mobley, Isaiah     10.3\n3         Mobley, Evan      3.1\n4         Merrill, Sam      3.1\n5         Okoro, Isaac      5.2\n6           Wade, Dean      1.0\n7      Garland, Darius      1.0\n8           Strus, Max      5.2\n9       Allen, Jarrett      4.1\n10   Mitchell, Donovan      5.2\n11      Niang, Georges      4.1\n12       LeVert, Caris      3.1\n13       Jones, Damian      6.2\n14  Morris Sr., Marcus      3.1\n15   Thompson, Tristan     11.3', 1: '             Pass From  FREQ\xa0R%\n0    Porter Jr., Craig     32.2\n1          Nance, Pete      5.0\n2       Mobley, Isaiah     12.4\n3         Mobley, Evan      5.0\n4         Merrill, Sam      5.0\n5         Okoro, Isaac      5.8\n6           Strus, Max     12.4\n7       Allen, Jarrett      1.7\n8    Mitchell, Donovan      1.7\n9       Niang, Georges      5.8\n10       LeVert, Caris      0.8\n11       Jones, Damian      3.3\n12  Morris Sr., Marcus      2.5\n13   Thompson, Tristan      6.6'}"
KeitaBates-Diop,"{0: ""              Pass To  FREQ\xa0M%\n0       Clowney, Noah      0.2\n1       Wilson, Jalen      2.0\n2    Watford, Trendon      2.2\n3       Johnson, Keon      1.4\n4     Sharpe, Day'Ron      1.4\n5   Walker IV, Lonnie      1.4\n6      Bridges, Mikal      0.6\n7   Smith Jr., Dennis      1.8\n8    Schroder, Dennis      0.8\n9     Goodwin, Jordan     11.1\n10         Lee, Saben      0.4\n11     Little, Nassir      1.6\n12           Bol, Bol      0.6\n13      Eubanks, Drew      5.1\n14     Watanabe, Yuta      1.8\n15       Okogie, Josh      4.7\n16     Metu, Chimezie      2.0\n17    Azubuike, Udoka      0.4\n18     Allen, Grayson     10.1\n19      Booker, Devin     16.4\n20      Nurkic, Jusuf      6.3\n21      Beal, Bradley      7.5\n22       Gordon, Eric     11.3\n23      Durant, Kevin      8.7"", 1: ""               Pass From  FREQ\xa0R%\n0          Clowney, Noah      0.7\n1          Wilson, Jalen      1.2\n2       Watford, Trendon      4.0\n3          Johnson, Keon      0.7\n4        Sharpe, Day'Ron      0.5\n5      Walker IV, Lonnie      2.5\n6         Bridges, Mikal      1.0\n7      Smith Jr., Dennis      2.2\n8   Finney-Smith, Dorian      0.5\n9       Schroder, Dennis      0.7\n10       Goodwin, Jordan      8.0\n11            Lee, Saben      1.0\n12        Little, Nassir      2.0\n13              Bol, Bol      1.2\n14         Eubanks, Drew      4.7\n15        Watanabe, Yuta      3.5\n16          Okogie, Josh      3.2\n17        Metu, Chimezie      1.5\n18       Azubuike, Udoka      0.2\n19        Allen, Grayson     10.5\n20         Booker, Devin     17.2\n21         Nurkic, Jusuf     10.7\n22         Beal, Bradley      7.0\n23          Gordon, Eric      7.5\n24         Durant, Kevin      7.5""}"
NicolasBatum,"{0: ""               Pass To  FREQ\xa0M%\n0        Hyland, Bones      1.2\n1           Martin, KJ      0.2\n2         Zubac, Ivica      0.1\n3       Powell, Norman      0.7\n4       Plumlee, Mason      0.2\n5       Leonard, Kawhi      0.2\n6         George, Paul      0.3\n7   Westbrook, Russell      0.7\n8    Council IV, Ricky      0.6\n9      Springer, Jaden      0.5\n10    Dowtin Jr., Jeff      0.8\n11          Martin, KJ      0.9\n12          Reed, Paul      3.5\n13       Maxey, Tyrese     29.6\n14  Melton, De'Anthony      5.2\n15           Bamba, Mo      1.4\n16   House Jr., Danuel      0.4\n17     Korkmaz, Furkan      0.3\n18        Hield, Buddy      4.6\n19      Payne, Cameron      6.8\n20    Oubre Jr., Kelly      8.9\n21        Embiid, Joel     10.5\n22   Covington, Robert      0.5\n23      Harris, Tobias      7.8\n24  Morris Sr., Marcus      1.7\n25   Beverley, Patrick      5.8\n26         Lowry, Kyle      6.7"", 1: ""             Pass From  FREQ\xa0R%\n0        Hyland, Bones      0.5\n1           Martin, KJ      0.2\n2       Powell, Norman      0.5\n3    Covington, Robert      0.2\n4       Plumlee, Mason      0.2\n5       Leonard, Kawhi      0.5\n6         George, Paul      0.3\n7   Westbrook, Russell      0.5\n8    Council IV, Ricky      0.3\n9      Springer, Jaden      0.3\n10    Dowtin Jr., Jeff      0.7\n11          Martin, KJ      0.7\n12          Reed, Paul      3.8\n13       Maxey, Tyrese     26.4\n14  Melton, De'Anthony      5.5\n15           Bamba, Mo      1.9\n16   House Jr., Danuel      0.8\n17     Korkmaz, Furkan      0.4\n18        Hield, Buddy      4.5\n19      Payne, Cameron      6.7\n20    Oubre Jr., Kelly      6.5\n21        Embiid, Joel     10.3\n22   Covington, Robert      0.3\n23      Harris, Tobias     11.3\n24  Morris Sr., Marcus      1.7\n25   Beverley, Patrick      6.5\n26         Lowry, Kyle      8.4""}"
